office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Pont,Koubenni,Hodh El Gharbi,373,170,5,0,165,100,7,2,0,1,55
Ecole 4,Kiffa,Assaba,445,257,4,13,240,102,92,9,10,3,24
Maison du Livre,Amourj,Hodh Chargui,352,168,5,0,163,130,9,1,0,0,23
Ecole 1 Moudjeria,Moudjeria,Tagant,406,230,2,0,228,167,9,29,0,0,23
Tewfik Ecole 2,Ouad Naga,Trarza,502,219,11,0,208,149,21,0,4,1,33
Inpection de l'Enseignement,El Mina,Nouakchott Sud,101,83,1,3,79,23,25,1,25,0,5
Ecole Inimich,Keur Macène,Trarza,517,220,4,1,215,128,61,1,1,0,24
Ecole Ibn Yacine,El Mina,Nouakchott Sud,498,409,15,5,389,127,158,4,27,1,72
Maison des Jeunes,Sebkha,Nouakchott Ouest,585,398,9,5,384,36,148,4,179,0,17
El Haye Al Idari,Timbedra,Hodh Chargui,315,148,6,0,142,82,3,4,2,3,48
El Veouz,Barkéol,Assaba,448,182,7,0,175,88,16,8,9,0,54
tywilitte,Bennechab,Inchiri,166,119,5,0,114,97,5,0,1,0,11
Ecole Baédiam,Ghabou,Guidimagha,514,326,3,5,318,211,79,2,23,0,3
Eljama,Boumdeid,Assaba,189,165,0,0,165,162,0,0,0,0,3
El Veouz,Barkéol,Assaba,450,191,4,1,186,97,42,4,9,1,33
Legleib,Boumdeid,Assaba,328,214,1,1,212,198,1,7,1,0,5
Ecole Walbounde,Boghé,Brakna,409,289,2,3,284,153,124,0,0,0,7
Nouvelle Maison des Jeunes,Nouadhibou,Dakhlet Nouadhibou,592,370,3,0,367,163,48,20,19,3,114
Lycée kaedi,Kaédi,Gorgol,423,325,5,4,316,45,216,3,35,0,17
Ecole El Jame'e,Keur Macène,Trarza,440,240,3,4,233,168,5,2,0,2,56
Ecole 1 Moudjeria,Moudjeria,Tagant,406,204,6,0,198,145,9,23,1,1,19
Ecole 2 Moudjeria,Moudjeria,Tagant,330,158,2,0,156,130,3,11,1,0,11
Dispensaire Central,Kiffa,Assaba,405,162,3,1,158,69,53,11,11,1,13
Dar El Oula,Aïoun,Hodh El Gharbi,193,114,5,0,109,78,7,0,0,0,24
Centre de Promotion  feminine,Aïoun,Hodh El Gharbi,345,164,6,0,158,116,3,0,0,1,38
Ekhweyendi (Ecole Othmane),Aïoun,Hodh El Gharbi,359,175,3,1,171,71,47,4,0,0,49
Lycée,Monguel,Gorgol,309,169,11,7,151,99,7,0,40,0,5
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,508,307,5,5,297,55,122,8,92,0,20
Blemhader,Aïoun,Hodh El Gharbi,128,97,1,0,96,88,1,1,0,0,6
El hadra,Aïoun,Hodh El Gharbi,136,116,0,0,116,108,0,1,0,0,7
Grounvelle ecole,Aïoun,Hodh El Gharbi,124,101,0,0,101,86,0,1,0,0,14
Centre de Promotion  feminine,Aïoun,Hodh El Gharbi,347,197,2,1,194,127,10,5,0,4,48
Berbouchya,Aïoun,Hodh El Gharbi,159,118,2,0,116,113,1,1,0,0,1
Oum El Akrich,Koubenni,Hodh El Gharbi,255,148,2,0,146,98,2,0,0,1,45
Ecole Projet,Moudjeria,Tagant,554,299,7,1,291,184,22,18,0,0,67
Sabouciré,Ghabou,Guidimagha,377,286,9,6,271,123,94,0,50,1,3
Dar Eslam ecole,Aïoun,Hodh El Gharbi,292,161,1,1,159,92,0,0,0,0,67
