office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Elemssoumiya,Ouad Naga,Trarza,129,86,6,7,73,63,1,0,0,0,9
Ecole Rachid,Kiffa,Assaba,397,156,2,0,154,122,14,0,0,2,16
Ecole 7,Nouadhibou,Dakhlet Nouadhibou,597,462,6,7,449,169,132,7,33,2,106
Ecole 5,Akjoujt,Inchiri,469,280,12,0,268,180,10,4,3,1,70
Ecole Zahra,Dar Naïm,Nouakchott Nord,589,452,34,11,407,206,65,18,27,4,87
El Ghachwatt Ecole,Ouad Naga,Trarza,415,273,3,3,267,171,1,1,1,0,93
Ecole 2,Ksar,Nouakchott Ouest,571,396,21,5,370,178,60,5,4,0,123
L'Inspection d'Enseignement Fondementale,Teyaret,Nouakchott Nord,538,287,4,2,281,141,33,7,3,0,97
L'Inspection d'Enseignement Fondementale,Teyaret,Nouakchott Nord,538,309,8,2,299,132,47,13,0,4,103
Ecole Talhata,Teyaret,Nouakchott Nord,443,341,13,2,326,102,74,12,22,0,116
Initi,Kaédi,Gorgol,443,359,20,0,339,46,230,20,12,0,31
Ecole Dar El Barka,Teyaret,Nouakchott Nord,521,326,10,5,311,133,50,18,2,2,106
Ecole 5,Timbedra,Hodh Chargui,446,217,5,4,208,151,4,2,1,2,48
Ecole 4,Atar,Adrar,584,386,9,1,376,222,28,5,19,1,101
Ecole 2 Bou Lahrath,Barkéol,Assaba,387,255,25,1,229,148,50,12,2,2,15
Bagdad,Aleg,Brakna,485,295,25,3,267,210,22,0,1,0,34
Ecole N'Teylatt,R'Kiz,Trarza,234,121,3,3,115,85,7,4,1,1,17
Lycée,Koubenni,Hodh El Gharbi,406,139,3,1,135,77,11,5,6,1,35
Collège,Bir Moghrein,Tiris Zemmour,342,167,4,2,161,110,21,2,1,1,26
Ecole Ibn Awf,Teyaret,Nouakchott Nord,380,240,4,4,232,82,57,8,4,2,79
Collége 1,Sebkha,Nouakchott Ouest,498,385,9,6,370,39,213,8,92,1,17
Ecole Aoueinatt Rajat,Néma,Hodh Chargui,333,260,8,0,252,210,3,0,0,1,38
Ecole Djeguegnay,Néma,Hodh Chargui,424,313,3,0,310,297,2,1,2,1,7
Ecole 1,Bababé,Brakna,409,267,9,14,244,39,41,1,148,2,13
Ecole Tadjoukel,Bababé,Brakna,398,287,2,0,285,225,4,0,2,0,54
Collège Des Jeunes Filles,Atar,Adrar,542,352,6,22,324,125,46,12,18,2,121
Sbeikhatt Ecole,Ouad Naga,Trarza,201,118,2,1,115,86,3,2,1,1,22
Ecole Beir Oulad Issa,R'Kiz,Trarza,281,178,4,2,172,117,5,9,0,0,41
Lycée Ouadane,Ouadane,Adrar,364,245,1,1,243,195,7,2,0,1,38
Zira,Boumdeid,Assaba,539,455,17,0,438,421,7,1,0,0,9
Nadi El Ghezlane,Zoueratt,Tiris Zemmour,339,266,3,0,263,97,19,17,26,1,103
Ecole Excellence,Tevragh Zeina,Nouakchott Ouest,581,345,0,3,342,160,69,20,8,0,85
Ecole Iraq,Kiffa,Assaba,564,281,26,1,254,112,63,14,2,0,63
Ecole Cheikh Sidi El Moctar,Riyad,Nouakchott Sud,425,323,6,3,314,46,156,9,55,2,46
Lycée,Teyaret,Nouakchott Nord,482,216,7,1,208,70,26,23,2,1,86
Ecole Excellence,Tevragh Zeina,Nouakchott Ouest,581,300,7,1,292,149,44,32,2,0,65
Ecole 5,Akjoujt,Inchiri,466,266,4,2,260,140,13,2,14,2,89
Cité plage,Tevragh Zeina,Nouakchott Ouest,575,362,16,4,342,145,100,19,28,0,50
El Ghamkeh,Aïoun,Hodh El Gharbi,124,84,2,0,82,75,0,0,0,0,7
Djoke,Kaédi,Gorgol,378,275,9,0,266,43,13,0,205,0,5
Dispensaire Chami,Chami,Dakhlet Nouadhibou,555,218,4,3,211,105,44,3,2,3,54
Mechrouaa N'dreyn,Tintane,Hodh El Gharbi,200,74,4,1,69,60,1,0,0,1,7
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,545,273,7,15,251,60,83,6,76,0,26
Ecole 4,Timbedra,Hodh Chargui,418,175,5,0,170,98,11,1,2,1,57
Direction Régionale de l'Enseignement,Atar,Adrar,396,187,5,3,179,91,16,2,6,0,64
Lycée des Jeunes Filles,Tevragh Zeina,Nouakchott Ouest,579,448,10,25,413,181,95,13,14,1,109
ISERI,Ksar,Nouakchott Ouest,591,423,37,0,386,82,190,11,59,1,43
Ecole Pompiers,Ksar,Nouakchott Ouest,565,334,9,0,325,163,44,15,17,1,85
Ecole Boubacar,R'Kiz,Trarza,318,235,2,0,233,200,8,18,2,0,5
Ecole Ejar Savia,Djiguenni,Hodh Chargui,213,123,3,1,119,63,1,0,0,0,55
Ecole Sid'Ahmed Ould Aida,Ksar,Nouakchott Ouest,582,286,14,0,272,124,57,18,1,2,70
Tejal El Hajra,Koubenni,Hodh El Gharbi,323,160,11,0,149,130,8,1,2,1,7
Ecole 1,Aleg,Brakna,450,216,20,0,196,81,59,0,0,0,56
Ecole Khaled,Tintane,Hodh El Gharbi,318,174,0,0,174,152,1,1,0,0,20
Ghnowderte,Tevragh Zeina,Nouakchott Ouest,510,434,8,18,408,225,45,13,8,1,116
PS Marva,El Mina,Nouakchott Sud,314,273,10,2,261,74,147,1,13,1,25
Ecole 12 Wejah,Nouadhibou,Dakhlet Nouadhibou,527,454,13,7,434,57,284,2,56,1,34
Lycée,Tintane,Hodh El Gharbi,488,269,2,0,267,202,34,1,6,0,24
Ecole 4,Zoueratt,Tiris Zemmour,524,386,8,3,375,129,105,8,18,2,113
El Ghadima,Tidjikja,Tagant,322,186,10,2,174,103,14,20,4,1,32
Tweizegt Aguessar,Atar,Adrar,269,175,2,2,171,85,4,2,0,0,80
Ecole Boubacar,R'Kiz,Trarza,319,250,4,1,245,197,9,28,1,0,10
Ecole El Gheirawane,Moudjeria,Tagant,158,129,13,0,116,99,0,2,0,0,15
Ecole Cheikh El Mamy,Teyaret,Nouakchott Nord,364,227,13,3,211,104,22,16,0,3,66
Ecole 4,Teyaret,Nouakchott Nord,560,309,18,5,286,106,40,21,4,4,111
Lycée,Zoueratt,Tiris Zemmour,469,343,25,7,311,143,31,4,47,3,83
Oum Sbouaa,Timbedra,Hodh Chargui,193,151,0,0,151,118,0,21,0,0,12
Boujema Ouest 1,Ouad Naga,Trarza,466,232,7,3,222,161,23,4,0,1,33
Ecole Eyoub,Riyad,Nouakchott Sud,542,421,7,5,409,84,200,3,99,0,23
Ecole Afdjeidjir,Boghé,Brakna,328,215,5,0,210,149,25,3,1,0,32
Ecole Arafat 1,El Mina,Nouakchott Sud,401,317,11,4,302,86,130,6,20,0,60
Ecole Sid'Ahmed Ould Aida,Ksar,Nouakchott Ouest,578,410,30,4,376,209,52,10,2,2,101
Ecole 4,Teyaret,Nouakchott Nord,560,286,3,5,278,115,21,27,5,1,109
Ecole Amdeir,Atar,Adrar,418,239,14,1,224,174,8,3,0,0,39
CAC,F'Deirick,Tiris Zemmour,591,337,3,1,333,189,26,7,4,1,106
Ecole 1,M'Bout,Gorgol,526,285,6,2,277,106,111,13,19,0,28
Amneiguir,Ouad Naga,Trarza,86,44,1,1,42,33,0,0,0,2,7
Ecole 2,Akjoujt,Inchiri,404,266,2,5,259,88,30,5,46,0,90
Ecole El Meimoune,R'Kiz,Trarza,127,89,4,0,85,66,3,0,0,0,16
Base,Aïoun,Hodh El Gharbi,500,301,4,0,297,160,16,14,1,4,102
Délégation Regionale de Développement Rurale,Néma,Hodh Chargui,439,226,2,1,223,142,11,0,2,26,42
Ecole Tejemoue,M'Bout,Gorgol,243,89,2,0,87,38,38,1,8,0,2
Ecole Bilal,Riyad,Nouakchott Sud,488,357,12,6,339,72,126,11,82,0,48
Ecole Bilal,Riyad,Nouakchott Sud,487,378,10,13,355,85,128,16,79,1,46
Send El Mahedra,Ouad Naga,Trarza,371,189,3,0,186,99,2,2,0,0,83
Collège 1,Sebkha,Nouakchott Ouest,455,199,10,2,187,40,87,3,41,0,16
Ecole Jaber,Mederdra,Trarza,170,119,2,0,117,77,23,5,0,0,12
Hôtel de ville,M'Bout,Gorgol,458,268,12,1,255,93,134,7,8,1,12
Ecole Chavii,Tevragh Zeina,Nouakchott Ouest,581,300,15,2,283,155,22,26,2,2,76
Ecole Addoud,Arafat,Nouakchott Sud,506,399,9,2,388,189,56,13,13,0,117
Mauripost,M'Bout,Gorgol,265,173,8,1,164,39,108,6,5,0,6
Ecole Lekraye,Moudjeria,Tagant,351,243,15,0,228,161,1,3,0,1,62
Ecole Ain Oulad Niayery,Néma,Hodh Chargui,283,186,1,2,183,151,1,0,0,29,2
Hsey Bouhmed,Mederdra,Trarza,405,272,10,1,261,157,12,1,1,1,89
El Maymoune Mahadra,Ouad Naga,Trarza,92,51,0,0,51,32,3,1,0,0,15
Ecole Daber,Moudjeria,Tagant,295,193,3,0,190,145,3,0,0,0,42
Ecole Hassi El Khalva,Djiguenni,Hodh Chargui,391,273,2,0,271,253,1,0,0,0,17
Ecole 4,Teyaret,Nouakchott Nord,560,316,4,2,310,128,28,22,10,0,122
Hôtel de ville,M'Bout,Gorgol,458,280,10,2,268,71,163,9,8,0,17
Lekhzine,Koubenni,Hodh El Gharbi,248,153,5,2,146,139,0,1,0,0,6
Tenadi El Mechrou,Ouad Naga,Trarza,152,96,0,1,95,75,3,0,1,0,16
El Kebba,Kaédi,Gorgol,482,390,8,3,379,93,217,3,57,1,8
Ecole Taguilalet,Mederdra,Trarza,328,180,4,1,175,88,13,22,0,0,52
Ecole Kehmeit,Moudjeria,Tagant,209,149,4,0,145,125,0,0,0,1,19
Ecole M'Bout Elghadim,M'Bout,Gorgol,448,289,5,10,274,95,155,1,4,0,19
Ecole Tenewchert,Ouadane,Adrar,232,142,3,0,139,126,0,1,0,0,12
Ecole Chami,Chami,Dakhlet Nouadhibou,548,141,3,6,132,43,34,4,2,4,45
Nebeyet Enness,Timbedra,Hodh Chargui,285,196,2,1,193,186,0,0,0,1,6
Hôtel de ville,M'Bout,Gorgol,459,271,8,1,262,100,144,6,8,1,3
Ecole Halima,Riyad,Nouakchott Sud,555,437,4,7,426,117,140,8,92,0,69
Jairinia Ecole,Ouad Naga,Trarza,274,209,5,2,202,113,5,1,0,0,83
Ecole Excellence,Tevragh Zeina,Nouakchott Ouest,581,342,13,5,324,146,61,33,7,2,75
Ecole M'Bout Elghadim,M'Bout,Gorgol,447,303,2,1,300,102,171,3,2,0,22
Mauripost,M'Bout,Gorgol,462,235,2,3,230,65,134,5,8,0,18
Ekfourda Sud,Ouad Naga,Trarza,160,114,5,2,107,54,6,1,0,0,46
Ecole 2 Bou Lahrath,Barkéol,Assaba,387,209,7,5,197,124,49,17,1,0,6
Amdeir Lekbir,Atar,Adrar,298,137,16,0,121,89,3,3,0,0,26
Koub Ehel Jaafar,M'Bout,Gorgol,573,366,9,1,356,160,183,6,3,1,3
Locaux Direction de l'agriculture,El Mina,Nouakchott Sud,344,258,17,5,236,111,82,7,3,1,32
Nimlane,Tidjikja,Tagant,424,284,12,0,272,178,1,16,0,2,75
Ecole Ely Chendhoura,Teyaret,Nouakchott Nord,524,347,9,9,329,91,90,22,75,2,49
Ecole Saada,Teyaret,Nouakchott Nord,566,290,9,3,278,117,46,15,5,1,94
Ecole Teoumiyat,Djiguenni,Hodh Chargui,221,117,1,0,116,103,0,0,0,1,12
Tentrama,M'Bout,Gorgol,338,191,6,5,180,34,116,5,12,4,9
Ecole 1 Bou Lahrath,Barkéol,Assaba,535,150,3,0,147,105,36,0,0,0,6
Collége 5,Riyad,Nouakchott Sud,475,305,10,3,292,112,90,6,11,2,71
Ecole Agoueinit,Néma,Hodh Chargui,407,324,3,0,321,314,1,0,0,1,5
Beder,Koubenni,Hodh El Gharbi,325,152,4,1,147,117,13,0,4,0,13
Hotel de Ville,Teyaret,Nouakchott Nord,460,298,3,3,292,125,33,19,12,5,98
Ecole Dar Salam,Moudjeria,Tagant,358,258,3,0,255,198,24,0,0,0,33
COLLEGE KEADI,Kaédi,Gorgol,563,443,30,0,413,53,191,4,157,0,8
el medina,Ouad Naga,Trarza,153,106,1,0,105,66,8,0,2,0,29
Tentrama,M'Bout,Gorgol,337,144,8,3,133,34,84,2,2,0,11
Lycée des Jeunes Filles,Tevragh Zeina,Nouakchott Ouest,579,306,6,4,296,105,67,12,10,1,101
Egjert,Aïoun,Hodh El Gharbi,324,206,4,0,202,101,0,1,0,0,100
Ecole Bajleilay,Mederdra,Trarza,416,250,7,3,240,159,12,3,0,0,66
Ecole 8,Riyad,Nouakchott Sud,469,295,9,1,285,84,113,6,8,0,74
Ecole Kenewal,Atar,Adrar,453,322,3,1,318,227,22,6,3,0,60
Ecole 5,Tevragh Zeina,Nouakchott Ouest,592,375,6,7,362,39,151,8,136,2,26
Ecole Keur Macene,Keur Macène,Trarza,457,302,7,0,295,119,72,20,4,0,80
Jdeir Lemdhaker,Ouad Naga,Trarza,547,264,6,4,254,200,9,2,1,1,41
Ecole Meissiya,R'Kiz,Trarza,223,141,2,0,139,107,3,1,1,1,26
Ecole 4,Timbedra,Hodh Chargui,419,187,2,1,184,115,6,2,0,1,60
Koub Ehel Yemani,M'Bout,Gorgol,413,196,5,3,188,42,116,17,7,0,6
Ecole 2 Boukhzama,Néma,Hodh Chargui,232,159,1,0,158,149,1,0,0,3,5
Boujema Ouest 1,Ouad Naga,Trarza,467,218,9,3,206,138,21,2,0,0,45
Maison des Jeunes,Sebkha,Nouakchott Ouest,581,455,18,7,430,43,205,2,167,1,12
Ecole Hsey El Bekay,Kiffa,Assaba,593,267,5,1,261,202,16,5,0,0,38
Ain El Veteh,Amourj,Hodh Chargui,314,249,15,1,233,222,4,0,2,0,5
Lahraïche,Akjoujt,Inchiri,146,94,2,0,92,64,0,3,0,0,25
Ecole Zahra,Dar Naïm,Nouakchott Nord,590,407,22,0,385,167,77,18,22,2,99
Commune,Ould Yengé,Guidimagha,516,313,8,3,302,89,83,0,91,2,37
Ecole Teougat,Djiguenni,Hodh Chargui,351,216,3,0,213,203,0,0,0,2,8
Ecole Bou Oubeid,Riyad,Nouakchott Sud,529,378,12,7,359,69,155,9,93,1,32
Ecole Zahra,Dar Naïm,Nouakchott Nord,589,402,15,3,384,108,109,8,59,1,99
Ecole 1 Boukhzama,Néma,Hodh Chargui,171,130,1,0,129,18,2,2,0,1,106
El Adala Oudey Lehdid,M'Bout,Gorgol,327,168,10,0,158,86,44,0,19,0,9
Direction des Domaines,Tevragh Zeina,Nouakchott Ouest,535,302,4,9,289,153,40,29,8,5,54
Ecole N° 1,Mederdra,Trarza,418,283,7,1,275,148,22,5,1,0,99
Lycée,Teyaret,Nouakchott Nord,484,318,7,1,310,113,56,17,6,4,114
Ecole Chami,Chami,Dakhlet Nouadhibou,548,156,3,1,152,82,13,2,4,0,51
Collège de Wali,Maghama,Gorgol,329,243,7,0,236,86,113,2,32,1,2
Ecole Abeih,Teyaret,Nouakchott Nord,350,232,7,4,221,83,24,11,4,0,99
Egjert,Aïoun,Hodh El Gharbi,323,214,5,0,209,145,4,1,0,0,59
Ecole Tenlaba,Ouadane,Adrar,542,292,3,1,288,255,1,3,0,0,29
Ecole,Néma,Hodh Chargui,322,208,5,0,203,186,7,1,0,1,8
Ecole 1,Ksar,Nouakchott Ouest,600,394,23,13,358,199,59,19,5,1,75
Locaux Direction de l'agriculture,El Mina,Nouakchott Sud,343,253,7,2,244,96,108,1,14,0,25
Noueizine,Ouad Naga,Trarza,575,330,12,4,314,141,85,4,8,1,75
Ecole Loboudou,Boghé,Brakna,467,340,10,18,312,23,59,3,211,4,12
Tenzah,Kaédi,Gorgol,481,309,5,3,301,69,162,12,29,0,29
Ghourel,Aleg,Brakna,189,155,6,4,145,38,2,0,52,2,51
Ecole Leghlig,Kiffa,Assaba,565,248,18,1,229,168,24,3,3,1,30
Ecole Balawa,Bababé,Brakna,181,112,1,0,111,90,2,0,2,0,17
El Adala Oudey Lehdid,M'Bout,Gorgol,326,184,10,9,165,65,46,2,49,1,2
Noueizine,Ouad Naga,Trarza,575,278,28,6,244,122,50,2,5,0,65
Ecole Robinet,R'Kiz,Trarza,327,183,8,1,174,71,27,2,0,0,74
Daret Abdallahi,Bababé,Brakna,68,58,0,3,55,27,1,0,24,0,3
Ecole 5,Néma,Hodh Chargui,412,226,1,0,225,125,23,2,4,4,67
Ecole 11,Riyad,Nouakchott Sud,530,324,15,7,302,88,117,7,9,0,81
Ecole Toulel,Maghama,Gorgol,313,223,11,0,212,105,89,1,16,0,1
Ecole Abba Ould Khtour,Arafat,Nouakchott Sud,553,458,13,0,445,164,152,7,38,0,84
Direction des Domaines,Tevragh Zeina,Nouakchott Ouest,535,387,3,3,381,254,24,17,3,5,78
Ecole Bouleklal,Djiguenni,Hodh Chargui,585,335,0,0,335,320,1,0,0,1,13
Ecole Houeiriya,Néma,Hodh Chargui,254,134,10,0,124,91,11,1,0,1,20
Ecole Abeih,Teyaret,Nouakchott Nord,348,277,8,2,267,67,74,9,11,0,106
Lycée Tevragh-Zeina,Tevragh Zeina,Nouakchott Ouest,512,310,2,2,306,102,55,40,20,5,84
Ecole Rgheiwatt,Rosso,Trarza,485,363,4,0,359,221,110,2,4,0,22
Ecole Ahmed Zeidane,Sebkha,Nouakchott Ouest,552,411,11,11,389,42,130,4,209,0,4
Ecole Beiliguet Litama,Maghama,Gorgol,306,220,9,0,211,173,9,0,5,1,23
Rachid,Amourj,Hodh Chargui,224,53,2,0,51,49,1,0,1,0,0
Ecole Khaled,Tevragh Zeina,Nouakchott Ouest,453,360,20,3,337,175,58,33,11,0,60
Ecole Sid'Ahmed Ould Aida,Ksar,Nouakchott Ouest,582,286,9,3,274,124,48,19,4,1,78
Ecole Hamza,Arafat,Nouakchott Sud,542,440,8,5,427,113,140,14,31,8,121
Dispensaire,Néma,Hodh Chargui,312,209,5,3,201,190,1,0,0,1,9
Ecole Ebnaji,Keur Macène,Trarza,568,291,4,4,283,181,15,5,0,1,81
Mahadra Douara,R'Kiz,Trarza,401,244,6,0,238,52,6,1,0,0,179
Ecole Breun,Rosso,Trarza,478,362,5,2,355,190,143,3,9,0,10
Ecole Teyarett,Atar,Adrar,296,208,9,0,199,129,20,1,0,0,49
Benemane,Aïoun,Hodh El Gharbi,340,181,2,0,179,135,3,0,0,0,41
Adalla,Néma,Hodh Chargui,164,121,2,0,119,113,2,0,0,1,3
Ecole Lourein,Rosso,Trarza,542,396,21,2,373,170,83,0,8,0,112
Ain El Veteh,Amourj,Hodh Chargui,314,247,6,1,240,231,1,0,0,0,8
Hotel de Ville,Kaédi,Gorgol,573,472,12,4,456,51,298,7,88,0,12
Ecole Eyoud Nghara,Maghama,Gorgol,581,315,7,7,301,170,20,1,105,2,3
Ecole Jemiye,Moudjeria,Tagant,119,60,0,1,59,42,3,1,0,0,13
Ecole El Islah,Riyad,Nouakchott Sud,425,326,9,9,308,45,120,6,116,1,20
Elevage,Aleg,Brakna,386,251,4,0,247,127,59,4,3,1,53
Ecole Tenlaba,Ouadane,Adrar,541,315,3,1,311,276,2,0,1,0,32
Ecole Lemreigaat,Bababé,Brakna,387,242,15,7,220,161,34,1,14,0,10
Beizeyite Laatarisse,Koubenni,Hodh El Gharbi,255,197,9,1,187,98,4,80,0,1,4
Ecole 3,Teyaret,Nouakchott Nord,531,326,11,4,311,110,76,15,26,0,84
Issil,Néma,Hodh Chargui,119,70,4,0,66,13,0,0,0,45,8
Ecole 3,Maghama,Gorgol,441,311,9,18,284,38,55,2,182,2,5
Ecole Leghligh,Djiguenni,Hodh Chargui,582,428,6,0,422,405,1,0,0,0,16
Barrage,M'Bout,Gorgol,513,293,7,1,285,114,129,4,32,1,5
Hotel de ville,Nouadhibou,Dakhlet Nouadhibou,332,236,1,1,234,113,24,9,14,1,73
El Hassi Touil,Bassiknou,Hodh Chargui,374,181,2,0,179,164,0,0,0,0,15
Ecole Kendra,Kiffa,Assaba,317,243,9,1,233,217,10,1,1,1,3
Ecole 5,Akjoujt,Inchiri,469,281,4,4,273,187,11,1,7,0,67
Ecole Boutalhaya,R'Kiz,Trarza,307,204,5,5,194,127,3,1,0,0,63
Eghasram 2,Ouad Naga,Trarza,398,172,2,1,169,102,9,2,1,1,54
Ecole Bent Jahch,Dar Naïm,Nouakchott Nord,537,369,13,4,352,154,85,16,13,1,83
Dispensaire Salam Jam,Dar Naïm,Nouakchott Nord,584,411,20,7,384,123,97,15,35,1,113
EL MESSIEL(EKREIE ELJERK),Néma,Hodh Chargui,167,132,2,0,130,109,4,0,1,11,5
Ecole Addoud,Arafat,Nouakchott Sud,504,402,36,2,364,180,45,14,10,2,113
Ecole Selmane El Varissi,Dar Naïm,Nouakchott Nord,507,345,14,0,331,99,112,16,21,1,82
Commune Tevragh-Zeina,Tevragh Zeina,Nouakchott Ouest,564,259,14,4,241,70,74,17,21,3,56
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,561,308,8,7,293,89,71,26,35,0,72
Ecole Jedida,Kaédi,Gorgol,432,304,16,5,283,60,148,10,41,0,24
oum Agleyla,Amourj,Hodh Chargui,213,163,1,0,162,161,0,0,1,0,0
Collège 2,El Mina,Nouakchott Sud,548,375,20,7,348,33,132,2,165,1,15
Mosquée Edebaye,M'Bout,Gorgol,579,427,7,0,420,203,201,1,0,0,15
Ecole Bent Khoueiled,Dar Naïm,Nouakchott Nord,579,402,13,3,386,121,161,6,11,0,87
Sabou Alla,M'Bout,Gorgol,382,201,2,1,198,63,94,24,0,0,17
kakart Ehl Amar Biye,Koubenni,Hodh El Gharbi,258,208,3,0,205,150,3,0,2,0,50
Oum Awajil,Timbedra,Hodh Chargui,242,245,1,0,244,242,0,0,0,0,2
Ecole Bou Said,Dar Naïm,Nouakchott Nord,418,267,11,3,253,104,86,13,8,3,39
Ecole Lemgheittie,Moudjeria,Tagant,583,420,6,2,412,249,8,6,2,2,145
Ecole Said,Arafat,Nouakchott Sud,526,345,4,3,338,160,45,7,6,0,120
El Hassi Touil,Bassiknou,Hodh Chargui,286,149,0,0,149,143,0,1,0,0,5
Ecole El Islah,Riyad,Nouakchott Sud,425,334,1,9,324,45,125,2,126,1,25
Ecole 7,Zoueratt,Tiris Zemmour,480,383,7,5,371,58,81,14,113,1,104
Ecole Bent Khoueiled,Dar Naïm,Nouakchott Nord,579,349,26,4,319,78,163,11,14,1,52
Stade de Teyarett,Teyaret,Nouakchott Nord,354,286,0,10,276,81,69,15,33,1,77
Ecole Baghaiditt,Djiguenni,Hodh Chargui,62,57,0,0,57,55,0,0,0,0,2
Ecole 1,Ksar,Nouakchott Ouest,600,447,23,4,420,273,36,8,0,1,102
Ecole 4,Atar,Adrar,583,350,4,3,343,207,40,3,23,1,69
Levreiwa,Ouad Naga,Trarza,317,264,1,3,260,154,0,11,0,0,95
Mahadra Jleivti,R'Kiz,Trarza,163,74,1,1,72,61,1,0,0,0,10
Ecole 1 Cansado,Nouadhibou,Dakhlet Nouadhibou,492,367,1,2,364,87,55,17,105,2,98
Bedjam,M'Bout,Gorgol,599,340,19,0,321,110,183,2,9,2,15
Ecole Lekrae,Magtalahjar,Brakna,548,318,28,0,290,133,14,30,0,0,113
Ecole Legleibat,Magtalahjar,Brakna,287,206,18,0,188,150,8,13,0,0,17
FAS -Guelb El gueyne,Zoueratt,Tiris Zemmour,45,36,0,2,34,11,6,1,1,1,14
Lycée,Magtalahjar,Brakna,596,354,21,6,327,196,11,7,0,0,113
Ecole Goueiwa,Magtalahjar,Brakna,374,262,13,1,248,173,24,1,0,0,50
Dar Selame,Magtalahjar,Brakna,288,238,2,0,236,183,4,4,1,1,43
Sabou Alla,M'Bout,Gorgol,382,219,0,0,219,104,69,17,1,2,26
Lycée Benichab,Bennechab,Inchiri,359,128,2,0,126,106,1,1,0,0,18
Emheijratt,Bennechab,Inchiri,323,162,8,1,153,119,21,2,0,0,11
Emheijratt,Bennechab,Inchiri,322,201,4,0,197,169,13,2,0,0,13
Ecole Benichab,Bennechab,Inchiri,425,187,2,4,181,124,19,3,1,1,33
Collège 1,Arafat,Nouakchott Sud,576,398,10,2,386,206,66,12,6,7,89
Direction Regionale de l'education nationale,Néma,Hodh Chargui,374,212,3,1,208,111,30,2,6,10,49
Ecole Tantane,Aleg,Brakna,464,250,6,1,243,149,14,0,1,0,79
Levreiwa,Ouad Naga,Trarza,317,265,4,4,257,139,1,4,0,0,113
Dispensaire belgherbane,R'Kiz,Trarza,465,276,20,0,256,179,3,1,0,0,73
Ecole Lemdina,Atar,Adrar,163,117,2,1,114,81,3,0,0,0,30
Ecole 4,Sebkha,Nouakchott Ouest,526,331,25,12,294,25,155,5,93,0,16
Tewvigh,Bababé,Brakna,68,60,1,2,57,24,28,0,2,0,3
Ecole Bou Oubeid,Riyad,Nouakchott Sud,529,363,6,8,349,66,139,2,104,0,38
Collège 4,El Mina,Nouakchott Sud,316,229,23,3,203,52,86,1,36,0,28
Ecole 1,Ksar,Nouakchott Ouest,600,395,29,0,366,198,61,8,3,2,94
Cetre Moughataa,Dar Naïm,Nouakchott Nord,507,339,9,6,324,127,86,13,27,0,71
Baghdad,Aïoun,Hodh El Gharbi,302,212,9,2,201,127,33,1,0,1,39
Ecole M'Beirika,Néma,Hodh Chargui,253,89,0,1,88,81,1,0,0,0,6
Koub Ehel Yemani,M'Bout,Gorgol,414,240,13,0,227,76,131,3,3,0,14
Ecole Said,Arafat,Nouakchott Sud,526,398,4,0,394,253,44,11,5,0,81
DISPENSAIRE,Kaédi,Gorgol,375,289,2,2,285,25,146,3,106,1,4
Ecole Djimy,Djiguenni,Hodh Chargui,390,274,3,0,271,251,0,1,0,0,19
Dispensaire belgherbane,R'Kiz,Trarza,467,295,20,0,275,174,5,2,0,1,93
Soufa,M'Bout,Gorgol,312,195,4,4,187,109,41,4,22,4,7
Laeouej,Amourj,Hodh Chargui,254,229,0,0,229,221,2,0,0,2,4
Boujemme,Ouad Naga,Trarza,176,123,4,4,115,85,5,5,0,0,20
Ecole,Néma,Hodh Chargui,574,451,14,1,436,427,0,0,0,1,8
Ecole Saada,Teyaret,Nouakchott Nord,566,306,14,0,292,136,44,16,7,0,89
Ecole 2,Aleg,Brakna,592,361,6,0,355,243,1,6,5,0,100
Dispensaire belgherbane,R'Kiz,Trarza,467,284,12,0,272,189,6,1,0,1,75
Teslah,Boumdeid,Assaba,387,357,0,1,356,351,4,0,0,0,1
Ecole Ntitam,Moudjeria,Tagant,466,344,0,0,344,213,3,2,2,0,124
Ecole Abass,Riyad,Nouakchott Sud,471,366,7,11,348,40,119,14,148,0,27
Koub Ehel Yemani,M'Bout,Gorgol,414,208,15,2,191,47,135,3,3,0,3
Dar Selam,Aïoun,Hodh El Gharbi,339,160,4,0,156,102,1,0,0,3,50
Ecole Bellewar,Kiffa,Assaba,351,277,6,0,271,233,8,0,5,1,24
Idriss lekhdar,Néma,Hodh Chargui,285,275,0,0,275,269,1,0,0,0,5
Dispensaire Lekseir,Atar,Adrar,365,258,9,0,249,159,19,2,0,0,69
Dispensaire Suisse,Riyad,Nouakchott Sud,495,373,19,5,349,65,129,12,98,0,45
Ecole Moussab 4,R'Kiz,Trarza,331,196,7,1,188,70,37,5,0,0,76
Mauripost,Akjoujt,Inchiri,464,313,4,0,309,161,22,8,25,2,91
Djewol 1,Kaédi,Gorgol,320,249,2,4,243,43,94,1,84,1,14
Ecole Magham Teissir,Néma,Hodh Chargui,428,305,3,1,301,181,3,0,0,12,105
Ecole El Moctar Hamidoune,Sebkha,Nouakchott Ouest,488,356,11,9,336,47,179,7,80,0,23
Agueilett Ethmane,Ouad Naga,Trarza,237,94,2,0,92,57,3,4,0,0,28
