,state_code,state,county,town,center,center_id,office_id,registered,voted,void,neutral,suffrage,candidate_votes,candidate
96,5,Brakna,Boghé,Boghé,Daghvegue,2,1,413,325,9,0,316,68,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
97,5,Brakna,Boghé,Boghé,Daghvegue,2,1,413,325,9,0,316,20,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
98,5,Brakna,Boghé,Boghé,Daghvegue,2,1,413,325,9,0,316,222,Biram Dah Dah ABEID (Biram)
99,5,Brakna,Boghé,Boghé,Daghvegue,2,1,413,325,9,0,316,2,Mohamed Sidi MAOULOUD (Maouloud)
100,5,Brakna,Boghé,Boghé,Daghvegue,2,1,413,325,9,0,316,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
101,5,Brakna,Boghé,Boghé,Daghvegue,2,1,413,325,9,0,316,3,KANE Hamidou Baba (Kane)
102,6,Trarza,Rosso,Rosso,Ecole N'deija,19,1,202,146,0,0,146,27,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
103,6,Trarza,Rosso,Rosso,Ecole N'deija,19,1,202,146,0,0,146,107,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
104,6,Trarza,Rosso,Rosso,Ecole N'deija,19,1,202,146,0,0,146,4,Biram Dah Dah ABEID (Biram)
105,6,Trarza,Rosso,Rosso,Ecole N'deija,19,1,202,146,0,0,146,5,Mohamed Sidi MAOULOUD (Maouloud)
106,6,Trarza,Rosso,Rosso,Ecole N'deija,19,1,202,146,0,0,146,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
107,6,Trarza,Rosso,Rosso,Ecole N'deija,19,1,202,146,0,0,146,2,KANE Hamidou Baba (Kane)
108,6,Trarza,Ouad Naga,Ouad Naga,Ecole Fondamentale,6,3,508,133,1,6,126,38,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
109,6,Trarza,Ouad Naga,Ouad Naga,Ecole Fondamentale,6,3,508,133,1,6,126,55,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
110,6,Trarza,Ouad Naga,Ouad Naga,Ecole Fondamentale,6,3,508,133,1,6,126,23,Biram Dah Dah ABEID (Biram)
111,6,Trarza,Ouad Naga,Ouad Naga,Ecole Fondamentale,6,3,508,133,1,6,126,2,Mohamed Sidi MAOULOUD (Maouloud)
