office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes,gaz_perct,biram_perct,mewloud_perct,kane_perct,wavi_perct,boubacar_perct,turnout
Mbire,Bassiknou,Hodh Chargui,381,179,5,2,172,150,1,0,0,1,20,0.872093023255814,0.005813953488372093,0.0,0.0,0.005813953488372093,0.11627906976744186,46.98
Ecole Hamad,Riyad,Nouakchott Sud,380,235,7,3,225,106,48,18,4,5,44,0.4711111111111111,0.21333333333333335,0.08,0.017777777777777778,0.022222222222222223,0.19555555555555557,61.84
Ecole Tifondé Civé,Kaédi,Gorgol,430,372,4,5,363,175,32,0,150,0,6,0.4820936639118457,0.0881542699724518,0.0,0.4132231404958678,0.0,0.01652892561983471,86.51
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,148,3,1,144,77,9,1,0,0,57,0.5347222222222222,0.0625,0.006944444444444444,0.0,0.0,0.3958333333333333,26.48
Guwawine Ivoulane,Koubenni,Hodh El Gharbi,56,45,3,2,40,20,0,0,17,0,3,0.5,0.0,0.0,0.425,0.0,0.075,80.36
Magham ibrahim,Ouad Naga,Trarza,101,68,1,5,62,11,2,1,0,0,48,0.1774193548387097,0.03225806451612903,0.016129032258064516,0.0,0.0,0.7741935483870968,67.33
Ecole 4,Boghé,Brakna,486,353,10,3,340,75,165,3,47,0,50,0.22058823529411764,0.4852941176470588,0.008823529411764706,0.13823529411764707,0.0,0.14705882352941177,72.63
Centre d'Accueil des Citoyens,Kiffa,Assaba,461,243,1,2,240,81,49,2,10,1,97,0.3375,0.20416666666666666,0.008333333333333333,0.041666666666666664,0.004166666666666667,0.4041666666666667,52.71
N'tarech,Keur Macène,Trarza,191,110,1,0,109,75,7,3,0,1,23,0.6880733944954128,0.06422018348623854,0.027522935779816515,0.0,0.009174311926605505,0.21100917431192662,57.59
Ecole N'Takat,Guerou,Assaba,419,159,10,1,148,99,2,1,0,0,46,0.668918918918919,0.013513513513513514,0.006756756756756757,0.0,0.0,0.3108108108108108,37.95
Ecole Nbeika,Keur Macène,Trarza,489,387,10,0,377,154,13,30,1,1,178,0.40848806366047746,0.034482758620689655,0.07957559681697612,0.002652519893899204,0.002652519893899204,0.47214854111405835,79.14
Lycée de Boghé,Boghé,Brakna,303,229,3,2,224,50,68,15,64,1,26,0.22321428571428573,0.30357142857142855,0.06696428571428571,0.2857142857142857,0.004464285714285714,0.11607142857142858,75.58
Ecole Syassa,Kiffa,Assaba,435,273,8,0,265,200,43,6,1,0,15,0.7547169811320755,0.16226415094339622,0.022641509433962263,0.0037735849056603774,0.0,0.05660377358490566,62.76
Collège 1,Nouadhibou,Dakhlet Nouadhibou,449,362,4,7,351,127,87,12,25,2,98,0.36182336182336183,0.24786324786324787,0.03418803418803419,0.07122507122507123,0.005698005698005698,0.2792022792022792,80.62
Bir El Barka,Kaédi,Gorgol,110,82,0,0,82,35,45,0,1,0,1,0.4268292682926829,0.5487804878048781,0.0,0.012195121951219513,0.0,0.012195121951219513,74.55
El Arch,N'beiket Lahwach,Hodh Chargui,209,181,12,1,168,156,1,0,0,9,2,0.9285714285714286,0.005952380952380952,0.0,0.0,0.05357142857142857,0.011904761904761904,86.6
El Haramaine,Kiffa,Assaba,526,294,0,0,294,268,4,2,0,0,20,0.9115646258503401,0.013605442176870748,0.006802721088435374,0.0,0.0,0.06802721088435375,55.89
Dar Elmouna,Ouad Naga,Trarza,69,15,0,0,15,11,0,0,0,0,4,0.7333333333333333,0.0,0.0,0.0,0.0,0.26666666666666666,21.74
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,262,183,6,2,175,24,83,2,56,1,9,0.13714285714285715,0.4742857142857143,0.011428571428571429,0.32,0.005714285714285714,0.05142857142857143,69.85
Ecole 2 Achram,Moudjeria,Tagant,553,297,4,0,293,235,6,2,0,0,50,0.8020477815699659,0.020477815699658702,0.006825938566552901,0.0,0.0,0.17064846416382254,53.71
Bureaux SONIMEX,Rosso,Trarza,342,260,8,1,251,83,111,7,1,0,49,0.33067729083665337,0.44223107569721115,0.027888446215139442,0.00398406374501992,0.0,0.1952191235059761,76.02
Ecole Chiyé 2,Ghabou,Guidimagha,366,234,12,0,222,82,75,3,5,0,57,0.36936936936936937,0.33783783783783783,0.013513513513513514,0.02252252252252252,0.0,0.25675675675675674,63.93
Ecole Dar Esselama,Boghé,Brakna,550,361,6,5,350,217,3,1,123,1,5,0.62,0.008571428571428572,0.002857142857142857,0.3514285714285714,0.002857142857142857,0.014285714285714285,65.64
Ecole El Kheiriya,Rosso,Trarza,399,311,15,0,296,79,184,3,11,0,19,0.2668918918918919,0.6216216216216216,0.010135135135135136,0.037162162162162164,0.0,0.06418918918918919,77.94
Tourgueleine Argoub,Moudjeria,Tagant,219,183,2,0,181,157,4,2,0,0,18,0.8674033149171271,0.022099447513812154,0.011049723756906077,0.0,0.0,0.09944751381215469,83.56
Centre Mballe,Ghabou,Guidimagha,221,143,11,4,128,78,15,0,14,1,20,0.609375,0.1171875,0.0,0.109375,0.0078125,0.15625,64.71
